a_o,per_odo,c_digo_programa,programa,metodologia,cantidad_matriculados,hombres,mujeres,comuna_1,comuna_2,comuna_3,comuna_4,comuna_5,comuna_6,comuna_7,comuna_8,comuna_9,comuna_10,comuna_11,comuna_12,comuna_13,comuna_14,comuna_15,comuna_16,corregimientos,otros_municipios,recibieron_apoyos_financieros,recibieron_apoyos_acad_micos
2020,2,106176,TECNOLOGÍA EN GESTIÓN CATASTRAL,Presencial,157,59,98,18,4,8,14,7,12,31,14,8,2,0,0,7,0,0,2,23,5,23,19
2020,2,102329,TECNOLOGÍA EN GESTIÓN COMUNITARIA,Presencial,549,115,434,64,32,37,45,36,49,59,43,37,2,1,2,58,0,1,6,63,12,89,78
2020,2,105436,TECNOLOGIA EN GESTIÓN DE SERVICIOS GASTRONÓMICOS,Presencial,609,277,332,42,24,71,36,35,61,100,40,54,0,4,8,55,1,0,7,44,27,72,65
2020,2,106303,TECNOLOGIA EN GESTION TURISTICA (VIRTUAL),Virtual,188,48,140,12,9,10,8,10,11,34,8,16,1,0,4,17,0,1,0,20,26,26,13
2020,2,107468,TECNOLOGIA EN SEGURIDAD Y SALUD EN EL TRABAJO,Presencial,158,29,129,19,8,14,15,12,19,32,9,9,0,0,0,14,0,0,1,5,1,23,14
2021,1,3205,ADMINISTRACION DE EMPRESAS TURISTICAS,Presencial,426,110,316,16,12,23,38,15,27,61,8,21,5,4,13,39,2,7,37,31,67,144,133
2021,1,101313,ARQUITECTURA,Presencial,482,264,218,16,9,23,31,23,23,55,17,47,7,5,14,33,3,5,26,15,130,135,252
2021,1,1725,BACTERIOLOGIA Y LABORATORIO CLINICO,Presencial,386,80,306,13,8,24,18,13,35,35,9,28,3,4,5,18,0,6,19,17,131,164,174
2021,1,17498,BIOTECNOLOGÍA,Presencial,190,64,126,6,5,8,14,12,10,18,4,8,3,1,4,10,0,1,11,11,64,80,92
2021,1,6644,CONSTRUCCIONES CIVILES,Presencial,594,383,211,35,14,27,43,19,34,71,22,39,5,4,10,50,0,10,25,36,150,171,174
2021,1,53935,ESPECIALIZACIÓN EN CONSTRUCCIÓN SOSTENIBLE,Presencial,14,8,6,0,0,2,0,0,0,1,1,1,1,1,1,0,0,1,4,0,1,0,0
2021,1,105850,ESPECIALIZACIÓN EN GESTIÓN DEL RIESGO DE DESASTRES,Presencial,15,7,8,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,12,0,0
2021,1,106174,ESPECIALIZACIÓN EN PLANEACIÓN URBANA,Virtual,29,14,15,0,0,0,0,1,1,2,0,1,0,2,0,0,0,0,0,1,21,0,17
2021,1,54263,INGENIERIA AMBIENTAL,Presencial,518,168,350,22,14,26,32,28,37,50,14,37,5,3,11,43,1,4,22,35,134,179,211
2021,1,106264,INGENIERÍA COMERCIAL,Presencial,137,64,73,7,4,11,6,6,13,21,4,11,1,0,5,12,0,1,5,10,20,50,43
2021,1,3707,PLANEACION Y DESARROLLO SOCIAL,Presencial,531,177,354,61,17,26,54,18,54,83,12,36,1,4,12,36,0,4,22,46,45,287,84
